Story ID,Area,Feature,Role,User Story,Expected Behavior Based On Code,Primary Surface,Source Evidence,Test Evidence,Inventory Status,Test Status,Error Status,Priority,Notes
US-064,Exports,Open production plan HTML export,Production operator,"As a production operator, I can open a print-ready production plan export.","Export service requires production role, loads plan, returns HTML, and 404s unknown plans.",GET /v1/exports/production-plans/:planId/html,print-export/src/index.ts; shared-core/src/export-html.ts,tests/backoffice-route-smoke.test.ts; tests/backoffice-output-praesentation-smoke.test.ts; tests/print-export-xss.test.ts,Inventoried,Not tested,,P1,
US-065,Exports,Open production folder HTML export,Production operator,"As a production operator, I can open a nine-section production folder with plan, spec, recipes, purchase list, timeline, and coverage.","Export resolves plan/spec/purchase lists/recipes/clarification answers, returns 404 for missing plan/spec, and renders honest empty-state notes.",GET /v1/exports/production-folders/:planId/html,print-export/src/index.ts; print-export/src/production-folder.ts; backoffice-ui/src/production-plan-download-card.tsx,tests/production-folder-export.test.ts,Inventoried,Not tested,,P1,
US-066,Exports,Download purchase list CSV,Production operator,"As a production operator, I can download purchase list CSV for procurement.","Export service requires production role, loads purchase list, returns text/csv with canonical headers, and 404s unknown lists.",GET /v1/exports/purchase-lists/:purchaseListId/csv,print-export/src/index.ts; shared-core/src/export-csv.ts,tests/local-ops-check-contract.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-067,Security,Enforce role gates on mutating routes,Internal operator,"As the platform, mutating actions require the correct operator role.",Trusted actor headers/dev auth resolve minimal MVP role; unauthorized requests receive 403 on protected mutating routes.,All services,shared-core/src/trusted-identity.ts; intake-service/src/app.ts; offer-service/src/app.ts; production-service/src/app.ts; print-export/src/index.ts,tests/mutating-route-auth-matrix.test.ts; tests/p1-role-guards.test.ts; tests/access-control.test.ts,Inventoried,Not tested,,P1,
US-068,Security,Validate upload types and sizes,Internal operator,"As the platform, unsafe or oversized uploads are rejected before ingestion.",Upload security validates extension/MIME/size and returns bounded error messages for intake/recipe contexts.,Upload endpoints,shared-core/src/upload-security.ts; intake-service/src/routes/document-routes.ts; offer-service/src/app.ts; production-service/src/routes/recipe-routes.ts,tests/upload-security.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P1,
US-069,Audit,Keep traceability for key mutations,Operations/audit operator,"As an audit operator, I can trace normalization, draft creation, planning, seeding, recipe review, and AI draft decisions.","Services write AuditLog entries with actor, action, entity, summary, and bounded details; audit endpoint lists recent production audit events.",Audit logs and GET /v1/production/audit/events,shared-core/src/audit-log.ts; production-service/src/app.ts; intake-service/src/app.ts; offer-service/src/app.ts,tests/p4-audit-traceability.test.ts; tests/data-safety-audit-gates.test.ts; tests/pa39-llm-readiness-agent-audit.test.ts,Inventoried,Not tested,,P1,
US-070,LLM boundary,Build BYO LLM adapter from env,Production operator,"As an operator, I can explicitly choose fixture, OpenAI, or Codex CLI provider for draft-only LLM use.","Runtime defaults to fixture, requires explicit OpenAI model/key for OpenAI, supports codex_cli via subprocess, and does not silently fall back.",BYO LLM runtime,shared-core/src/byo-llm-runtime.ts; shared-core/src/byo-llm-codex-cli-transport.ts; shared-core/src/byo-llm-boundary.ts,tests/byo-llm-runtime-clarification-drafts.test.ts; tests/codex-cli-byo-provider.test.ts; tests/byo-llm-boundary.test.ts,Inventoried,Not tested,,P2,
US-071,LLM boundary,Prevent raw prompt/response audit leakage,Production operator,"As the platform, AI draft audit metadata must not store raw prompts or raw model responses.",Agent audit records contain ids/hashes/provider metadata but tests assert no prompt or response plaintext in audit.,Clarification draft endpoints,production-service/src/routes/artifact-routes.ts; shared-core/src/llm-readiness-agent-audit.ts,tests/byo-llm-runtime-clarification-drafts.test.ts; tests/codex-cli-byo-provider.test.ts; tests/pa39-llm-readiness-agent-audit.test.ts,Inventoried,Not tested,,P1,
US-072,Recipe seeds,Import Köpff recipe seeds,Production operator,"As an operator, I can import verified Köpff recipe seeds into the recipe library without duplicate imports.",Import script loads 11 seed JSON recipes through upload/library logic with review-required status and idempotency.,npm run import:recipes:koepff,scripts/import-koepff-recipes.ts; data-seeds/recipes-koepff; shared-core/src/recipe-schema.ts,tests/koepff-recipe-seeds.test.ts,Inventoried,Not tested,,P2,
US-073,Offer fixtures,Import offer portfolio fixture,Offer operator,"As an operator, I can regenerate curated offer package fixture from source portfolio data.","Import script validates required package fields, strips marker lists, sorts by id, and writes curated-offer-packages.json idempotently.",npm run import:offer-portfolio,scripts/import-offer-portfolio.ts; shared-core/src/fixtures/curated-offer-packages.json,tests/curated-offer-selection.test.ts,Inventoried,Not tested,,P2,
US-074,Uni packages,Select Uni Rahmenvertrag packages and estimate side costs,Offer operator,"As an operator, I can query Uni package options by event type/pax and estimate transport/staff side costs.",selectUniPackages filters min_pax and event type substring; estimateUniSideCosts applies delivery bands and staff hourly rate.,Shared core data layer,shared-core/src/rules/uni-packages.ts; shared-core/src/fixtures/uni-request-packages.json,tests/uni-packages.test.ts,Inventoried,Not tested,,P3,No UI/API surface in current code evidence.
US-075,Local operations,Start/stop/status/check local stack,Developer/operator,"As an operator, I can run a local stack with seeded demo data and validate health/export/audit anchors.","local:start, local:start:fresh, local:status, local:check, and local:stop manage screen sessions and bounded local verification.",npm local:* scripts,scripts/start-local-stack.sh; scripts/start-fresh-local-stack.sh; scripts/status-local-stack.sh; scripts/check-local-ops.sh; scripts/stop-local-stack.sh,tests/local-ops-check-contract.test.ts; tests/runtime-service-smoke.test.ts,Inventoried,Not tested,,P1,
US-076,Browser rehearsal,Run browser rehearsal scripts,Developer/operator,"As an operator, I can run scripted browser rehearsals for core UI flows.","Browser rehearsal scripts exercise non-mutating and controlled mutating/fresh flows for answer submit, archive intake, failed upload, and full fresh run.",npm run browser:rehearsal*,scripts/check-browser-rehearsal.sh; scripts/check-browser-rehearsal-full-fresh.sh; package.json,tests/local-ops-check-contract.test.ts; tests/backoffice-route-smoke.test.ts,Inventoried,Not tested,,P2,
US-077,Synthetic live checks,Run LLM synthetic live and mini-pilot checks,Developer/operator,"As an operator, I can run preflight, probe, strict probe, and mini-pilot checks for synthetic LLM readiness.","llm scripts validate env/fixtures, run guarded probes, fail on eval drift, and expose mini-pilot ready status for UI paste-in.",npm run llm:synthetic-live:*,package.json; scripts/check-synthetic-live-llm-readiness.ts; scripts/run-synthetic-live-llm-readiness.ts; scripts/check-synthetic-live-mini-pilot.ts,tests/pa49-synthetic-live-operator-env-preflight.test.ts; tests/pa62-synthetic-live-mini-pilot-policy.test.ts; tests/mini-pilot-check-report-state.test.ts,Inventoried,Not tested,,P2,
US-078,Data storage,Use file storage or PostgreSQL-backed collection storage,Operator/deployer,"As an operator, I can run services on default file storage or configure PostgreSQL database URL.",Stores accept rootDir/databaseUrl/pgPool options; README documents CATERING_DATA_ROOT and CATERING_DATABASE_URL.,Service store configuration,README.md; shared-core/src/storage.ts; intake-service/src/store.ts; offer-service/src/store.ts; production-service/src/repositories/production-store.ts,tests/platform.test.ts; tests/runtime-service-smoke.test.ts,Inventoried,Not tested,,P2,
US-079,XSS safety,Escape exported HTML content,Internal operator,"As the platform, untrusted names/text must not render executable HTML in exports.",Export tests verify script-like recipe names and content are escaped rather than rendered raw.,Print exports,shared-core/src/export-html.ts; print-export/src/production-folder.ts,tests/print-export-xss.test.ts; tests/production-folder-export.test.ts,Inventoried,Not tested,,P1,
US-080,End-to-end core flow,Run one internal catering flow from intake to production artifacts,Internal operator,"As an internal operator, I can enter a realistic request, produce a usable plan, and inspect purchase/export evidence.","Backoffice smoke walks manual intake through accepted spec, production plan, purchase list, and exports with realistic data.",UI + services end-to-end,backoffice-ui/src/App.tsx; intake-service/src/app.ts; production-service/src/app.ts; print-export/src/index.ts,tests/backoffice-internal-usage-smoke.test.ts; tests/ui-critical-path-rehearsal.test.ts; tests/critical-path-rehearsal.test.ts,Inventoried,Not tested,,P1,
